question,text,label
ai là người đã sáng lập nên tập đoàn microsoft,người đồng sáng lập tập đoàn microsoft paul allen qua đời ở tuổi 65,1
ai là người đã sáng lập nên tập đoàn microsoft,william henry  bill  gates iii  sinh ngày 28 tháng 10 năm 1955   3  là một doanh nhân người mỹ  nhà từ thiện  tác giả và chủ tịch tập đoàn microsoft  hãng phần mềm khổng lồ mà ông cùng với paul allen đã sáng lập ra  ông luôn có mặt trong danh sách những người giàu nhất trên thế giới   4  và là người giàu nhất thế giới từ 1995 tới 2014  ngoại trừ tháng 32013  32012  tháng 32011  hạng 2  và 2008 khi ông chỉ xếp thứ ba ,1
ai là người đã sáng lập nên tập đoàn microsoft,william henry gates iii là một doanh nhân người mỹ  nhà từ thiện  người đồng sáng lập  cùng với paul allen  và cựu chủ tịch tập đoàn microsoft  ông luôn có mặt trong danh sách những người giàu nhất trên thế giới và giữ vị trí người giàu nhất thế giới trong phần lớn khoản thời gian cho đến hiện tại  trong giai đoạn gần cuối của sự nghiệp  gates đã theo đuổi một số nỗ lực từ thiện  quyên góp và ủng hộ một số tiền lớn cho các tổ chức từ thiện và nghiên cứu khoa học thông qua quỹ bill  melinda gates  được thành lập năm 2000 ,1
ai là người đã sáng lập nên tập đoàn microsoft,ngày nay  đồng sáng lập tập đoàn microsoft  bill gates  là một trong những người giàu có nhất thế giới  với giá trị tài sản ròng ước tính gần 90 tỷ đô  tuy nhiên  cách đây hơn 40 năm  gates mới chỉ là một nhà phát triển phần mềm trẻ tuổi đang bước trên con đường chinh phục sự nghiệp của mình ,1
ai là người đã sáng lập nên tập đoàn microsoft,ngày nay  gates là tỷ phú giàu thứ 2 thế giới  chỉ sau jeff bezos của tập đoàn amazon  tập đoàn microsoft do ông sáng lập có giá thị trường gần 700 tỷ đô ,0
ai là cha của shark hưng,tình yêu như công chúa  hoàng tử của shark hưng u50 đẹp trai và vợ á hậu kém 16 tuổi,0
ai là cha của shark hưng,nhìn tình yêu của shark hưng và vợ  nhiều fan hâm mộ không khỏi thốt lên ngưỡng mộ nhưng cũng có người đưa ra nhận định rằng   hãy trở thành công chúa  hoàng tử sẽ tìm đến bạn  đừng làm 1 lọ lem ngồi chờ  hay  muốn lấy được 1 người ưu tú bản thân mình cũng phải là 1 người ưu tú  chị em nhớ nhé ,0
ai là cha của shark hưng,shark hưng   tôi thú nhận không giỏi điều hành đâu   doanh nhân  zingvn,0
ai là cha của shark hưng,dù được shark vương ngỏ ý đầu tư  startup đến từ huế kiên quyết không nâng dù chỉ 1 cổ phần công ty khiến shark hưng cười lớn kết luận   bạn ấy mang đến cho các sharks một cơ hội  còn ,0
ai là cha của shark hưng,xem video  shark hưng tâm sự về vợ tại đám cưới đẹp như mơ   nguồn video  cherry quỳnh  youtube ,0
ai là cha của shark hưng, có vẻ cái tên shark hưng và cen group được nhiều người biết đến sau chương trình shark tank việt nam  thương vụ bạc tỷ  cơ duyên nào đưa ông đến với chương trình ,0
ai là cha của shark hưng,theo đó  shark hưng cho rằng giống như việc steve jobs hay bill gates bỏ học giữa chừng  không phải cứ làm theo là thành công được  tất cả đều cần có điều kiện ,0
ai là cha của shark hưng,có lẽ vì được mệnh danh là  cá mập  nên concept đám cưới shark hưng và vợ lựa chọn chính là chủ đề biển cả  vậy nên từ hội trường cưới cho tới trang phục của cô dâu chú rể  của khách mời tham dự đều theo tông chủ đạo là trắng  tím và xanh dương  trong đám cưới cũng có sự xuất hiện của các  cá mập  khác như shark vương  shark linh ,0
ai là cha của shark hưng,shark hưng cho biết  lần đó ông đang chơi golf ở tam đảo  tỉnh vĩnh phúc   được đạo diễn lưu trọng ninh nhờ tư vấn cho một cảnh quay về chơi golf nên đã chủ động xin đạo diễn sửa kịch bản và cho ông một vai ,0
